PCDate,PCTime,MERpm,METorque,MEShaftPow,MESFOC_kw,MESFOC_nmile,ShipSpd,ShipSpdToWater,ShipSlip,ShipDraft,ShipHeel,ShipTrim,ShipDraughtBow,ShipDraughtAstern,ShipDraughtMidLft,ShipDraughtMidRgt,WindDir,WindSpd,Latitude,Longitude,windPower
2022/1/1,0:00:03,81.0,812.0,6980.0,180.0837097,77.11560059,16.849,16.3,-1.262476802,6.635,-0.48,3.97,4.65,8.62,5.41,5.89,11.0,23.6,30.53 N,123.17 E,546.727076093011
2022/1/1,0:00:13,81.0,791.0,6822.0,183.5460663,76.8190918,16.849,16.3,-1.262476802,6.79,-0.47,3.06,5.26,8.32,5.14,5.61,16.0,24.0,30.53 N,123.17 E,553.6867368604717
2022/1/1,0:00:26,82.0,789.0,6751.0,183.5493164,75.55740356,16.849,16.4,-0.641234636,6.9,-0.12,3.1,5.35,8.45,5.16,5.28,15.0,23.5,30.53 N,123.17 E,533.432537568138
2022/1/1,0:00:36,82.0,796.0,6888.0,179.7248688,75.48445129,16.934,16.4,-0.641234636,6.645,-0.58,3.69,4.8,8.49,5.18,5.76,16.0,22.5,30.53 N,123.17 E,486.63873356877394
2022/1/1,0:00:46,81.0,791.0,6801.0,184.8715363,76.66532135,16.951,16.4,-1.883718967,6.69,-0.31,3.8,4.79,8.59,5.11,5.42,16.0,21.5,30.53 N,123.17 E,444.34321894748786
2022/1/1,0:00:58,81.0,790.0,6784.0,183.7062225,75.99165344,16.944000000000006,16.4,-1.883718967,6.715,0.02,3.55,4.94,8.49,5.25,5.23,18.0,21.2,30.53 N,123.17 E,427.4428406836939
2022/1/1,0:01:09,81.0,790.0,6796.0,183.3194885,75.96580505,16.937,16.4,-1.883718967,6.77,-0.17,3.36,5.09,8.45,5.27,5.44,5.0,21.4,30.53 N,123.17 E,456.2173239380957
2022/1/1,0:01:19,81.0,773.0,6617.0,187.2290039,76.00578308,16.937,16.3,-1.262476802,6.68,0.07,3.38,4.99,8.37,5.45,5.38,2.0,22.9,30.53 N,123.17 E,524.090543597084
2022/1/1,0:01:31,82.0,774.0,6654.0,185.2213898,75.61123657,16.937,16.3,-1.262476802,6.81,-0.31,3.3,5.16,8.46,5.26,5.57,1.0,23.3,30.53 N,123.17 E,542.8073152234532
2022/1/1,0:01:41,82.0,768.0,6549.0,187.5076447,74.87728882,16.937,16.4,-0.641234636,7.015,-0.06,2.79,5.62,8.41,5.24,5.3,7.0,23.6,30.53 N,123.17 E,552.8085046181508
2022/1/1,0:01:51,82.0,783.0,6789.0,185.9279938,75.36885834,16.937,16.4,-1.883718967,6.57,-0.57,3.8,4.67,8.47,5.1,5.67,5.0,23.4,30.53 N,123.17 E,545.4763688871161
2022/1/1,0:02:01,82.0,782.0,6733.0,182.0215607,74.72872925,16.937,16.4,-0.641234636,6.585,-0.29,3.99,4.59,8.58,5.04,5.33,16.0,22.8,30.53 N,123.17 E,499.7022800165757
2022/1/1,0:02:13,81.0,786.0,6708.0,183.8456726,75.19736481,16.944000000000006,16.4,-1.883718967,6.715,-0.71,3.59,4.92,8.51,5.16,5.87,19.0,24.7,30.54 N,123.17 E,576.8514277873871
2022/1/1,0:02:24,81.0,793.0,6773.0,184.0171661,75.99684906,16.944000000000006,16.4,-1.883718967,6.825,-0.46,3.15,5.25,8.4,4.98,5.44,16.0,25.1,30.54 N,123.17 E,605.6044810581003
2022/1/1,0:02:34,82.0,792.0,6809.0,181.3034363,75.27409363,16.894000000000002,16.4,-0.641234636,6.695,0.28,3.69,4.85,8.54,5.44,5.16,18.0,24.9,30.54 N,123.17 E,589.6645506681581
2022/1/1,0:02:46,82.0,791.0,6795.0,183.8263092,76.16461945,16.894000000000002,16.4,-0.641234636,6.64,-0.34,3.5,4.89,8.39,5.06,5.4,18.0,24.6,30.54 N,123.17 E,575.5413614011752
2022/1/1,0:02:56,82.0,793.0,6797.0,182.5667572,75.66501617,16.928,16.4,-1.883718967,6.815,-0.27,3.23,4.88,8.42,5.22,5.43,21.0,25.0,30.54 N,123.17 E,583.4877665607511
2022/1/1,0:03:06,82.0,799.0,6865.0,181.3742523,75.92282104,16.925,16.4,-0.641234636,6.65,-0.51,3.56,4.87,8.43,5.18,5.69,15.0,26.1,30.54 N,123.17 E,657.9983321263762
2022/1/1,0:03:18,82.0,789.0,6815.0,182.0945282,75.66915894,16.908,16.4,-0.641234636,6.81,-0.34,3.04,5.29,8.33,4.95,5.29,15.0,24.4,30.54 N,123.17 E,575.0735999394598
2022/1/1,0:03:28,81.0,820.0,7002.0,180.4027252,77.02316284,16.908,16.4,-1.883718967,6.59,-0.79,3.8,4.69,8.49,4.75,5.54,16.0,24.2,30.54 N,123.17 E,562.953299609317
2022/1/1,0:03:39,82.0,821.0,7027.0,183.4444885,78.60149384,16.908,16.4,-0.641234636,6.68,-0.4,3.54,4.91,8.45,5.19,5.59,15.0,23.2,30.54 N,123.17 E,519.8999167418282
2022/1/1,0:03:49,81.0,810.0,6965.0,181.54194640000003,77.09998322,16.908,16.4,-1.883718967,6.715,-0.71,3.65,4.89,8.54,4.91,5.62,16.0,23.4,30.54 N,123.17 E,526.3484542279858
2022/1/1,0:04:01,81.0,798.0,6867.0,181.1123505,75.83527374,16.908,16.4,-1.883718967,6.635,-0.45,3.59,4.84,8.43,5.19,5.64,16.0,22.6,30.54 N,123.17 E,490.9740238174558
2022/1/1,0:04:11,82.0,829.0,7060.0,181.1735382,77.99300385,16.908,16.4,-1.883718967,6.735,-0.1,3.47,5.0,8.47,5.27,5.37,15.0,23.0,30.54 N,123.17 E,510.9747621069171
2022/1/1,0:04:21,82.0,833.0,7140.0,182.6886444,79.05435944,16.908,16.5,-1.254900694,6.635,0.29,3.63,4.82,8.45,5.37,5.08,19.0,23.3,30.54 N,123.17 E,513.3125795071131
2022/1/1,0:04:33,82.0,786.0,6744.0,185.8178406,76.41191864,16.908,16.4,-0.641234636,6.35,-0.4,4.6,4.05,8.65,5.3,5.7,18.0,21.8,30.54 N,123.17 E,451.9800988041088
2022/1/1,0:04:43,82.0,818.0,6973.0,180.2500763,76.17477417,17.014,16.5,-1.254900694,6.62,-0.66,3.76,4.74,8.5,5.21,5.87,14.0,20.9,30.54 N,123.17 E,423.834876194618
2022/1/1,0:04:53,81.0,796.0,6849.0,183.7403564,76.26895142,17.014,16.5,-2.5049612519999997,6.585,-0.52,3.77,4.7,8.47,4.83,5.35,11.0,21.7,30.54 N,123.17 E,462.2384244136705
2022/1/1,0:05:06,82.0,817.0,7041.0,177.43817140000004,75.71770477,17.079,16.5,-1.254900694,6.635,-0.08,3.41,4.93,8.34,5.27,5.35,8.0,24.5,30.54 N,123.17 E,594.4084082621276
2022/1/1,0:05:16,82.0,804.0,6872.0,183.8929443,76.58862305,17.099,16.5,-1.254900694,6.905,0.18,3.05,5.38,8.43,5.38,5.2,11.0,25.0,30.54 N,123.17 E,613.51698965479
2022/1/1,0:05:26,82.0,797.0,6821.0,186.33630369999997,77.03029633,17.124000000000002,16.5,-1.254900694,6.645,-0.34,3.69,4.8,8.49,5.28,5.62,11.0,25.9,30.55 N,123.17 E,658.4853309285273
2022/1/1,0:05:38,81.0,806.0,6913.0,184.693985,77.85301971,17.158,16.4,-1.883718967,6.96,-0.73,2.94,5.49,8.43,4.71,5.44,9.0,26.2,30.55 N,123.17 E,677.9887845181262
2022/1/1,0:05:48,82.0,802.0,6859.0,185.435791,77.55512238,17.158,16.4,-1.883718967,6.62,-0.84,3.9,5.26,8.34,5.08,5.52,12.0,23.6,30.55 N,123.17 E,544.7890877047005
2022/1/1,0:05:58,81.0,781.0,6695.0,184.7049866,75.40242767,17.171,16.4,-1.883718967,6.615,-0.37,3.47,4.88,8.35,5.01,5.38,9.0,23.4,30.55 N,123.17 E,540.8186277762736
2022/1/1,0:06:08,82.0,792.0,6811.0,180.7597504,74.61543274,17.171,16.5,-1.254900694,6.685,-0.83,3.33,5.02,8.35,4.98,5.81,9.0,25.2,30.55 N,123.17 E,627.2216038115363
2022/1/1,0:06:20,82.0,800.0,6888.0,181.0299835,76.03259277,17.171,16.4,-0.641234636,6.65,-0.32,3.54,4.88,8.42,5.03,5.35,16.0,25.4,30.55 N,123.17 E,620.1675957515657
2022/1/1,0:06:31,81.0,785.0,6673.0,187.6384125,76.34823608,17.171,16.4,-1.883718967,6.84,-0.44,3.14,5.27,8.41,4.88,5.32,16.0,26.0,30.55 N,123.17 E,649.8129064543036
2022/1/1,0:06:41,82.0,782.0,6663.0,188.3554688,76.52514648,17.171,16.4,-0.641234636,6.45,-0.01,4.2,4.35,8.55,5.39,5.4,18.0,25.8,30.55 N,123.17 E,633.0612595067058
2022/1/1,0:06:53,81.0,782.0,6711.0,186.3149414,76.24143982,17.171,16.4,-1.883718967,6.855,-0.26,3.23,5.24,8.47,5.35,5.61,7.0,25.1,30.55 N,123.17 E,625.3140009955492
2022/1/1,0:07:03,82.0,793.0,6797.0,184.3508301,76.40442657,17.131,16.4,-0.641234636,6.595,-0.86,4.03,4.58,8.61,4.8,5.66,11.0,25.8,30.55 N,123.17 E,653.410318390103
2022/1/1,0:07:13,82.0,784.0,6777.0,183.71490480000003,75.91682434,17.152,16.4,-0.641234636,6.805,-0.37,3.49,5.06,8.55,4.92,5.29,9.0,25.5,30.55 N,123.17 E,642.2443434719884
2022/1/1,0:07:25,81.0,790.0,6778.0,183.4716187,75.82748413,17.152,16.4,-1.883718967,6.675,-0.1,3.51,4.92,8.43,4.96,5.06,11.0,25.4,30.55 N,123.17 E,633.3065936730949
2022/1/1,0:07:35,83.0,789.0,6718.0,187.0675812,76.62926483,17.104,16.4,0.571310341,6.725,-0.45,3.49,4.98,8.47,4.92,5.37,14.0,24.5,30.55 N,123.17 E,582.4200096971667
2022/1/1,0:07:46,82.0,804.0,6901.0,182.0508881,77.07565308,17.104,16.3,-0.027568584,6.715,-0.22,3.33,5.05,8.38,5.26,5.48,12.0,23.9,30.55 N,123.17 E,558.7276910151571
2022/1/1,0:07:56,82.0,803.0,6890.0,184.9963684,78.19785309,17.142,16.3,-0.027568584,6.6,-0.4,3.62,4.79,8.41,5.14,5.54,9.0,23.6,30.55 N,123.17 E,550.1028981778679
2022/1/1,0:08:08,82.0,787.0,6765.0,183.7338409,76.25518036,17.144000000000002,16.3,-1.262476802,6.555,-0.47,3.89,4.61,8.5,5.2,5.67,11.0,23.0,30.55 N,123.17 E,519.2807800438143
2022/1/1,0:08:18,82.0,782.0,6658.0,184.8833313,75.51860046,17.144000000000002,16.3,-0.027568584,6.93,-0.25,2.84,5.51,8.35,5.05,5.3,16.0,23.0,30.55 N,123.17 E,508.5074371513707
2022/1/1,0:08:28,81.0,808.0,6902.0,180.927948,76.14418793,17.144000000000002,16.4,-1.883718967,6.625,-0.25,3.79,4.73,8.52,5.11,5.36,16.0,24.6,30.55 N,123.17 E,581.7171279140331
2022/1/1,0:08:40,82.0,819.0,7008.0,183.4823761,78.40515137,17.144000000000002,16.4,-0.641234636,6.83,-0.17,3.16,5.25,8.41,5.26,5.43,18.0,22.8,30.55 N,123.17 E,494.3972194308727
2022/1/1,0:08:50,82.0,816.0,7037.0,181.3245697,77.80371857,17.144000000000002,16.4,-0.641234636,6.645,-0.17,3.77,4.76,8.53,5.29,5.46,14.0,25.2,30.55 N,123.17 E,616.1765980143088
2022/1/1,0:09:01,81.0,803.0,6918.0,180.4119415,76.1030426,17.191,16.4,-1.883718967,6.685,-0.45,3.67,4.85,8.52,4.87,5.32,12.0,26.7,30.56 N,123.17 E,697.3116430871228
2022/1/1,0:09:13,82.0,805.0,6968.0,179.64750669999995,76.32827759,17.191,16.4,-0.641234636,6.9,-0.38,3.12,5.34,8.46,5.17,5.55,8.0,25.2,30.56 N,123.17 E,628.8598343736468
2022/1/1,0:09:23,81.0,795.0,6804.0,184.1436615,76.39716339,17.226,16.4,-1.883718967,6.965,-0.31,2.87,5.53,8.4,5.4,5.71,11.0,23.9,30.56 N,123.17 E,560.71526345714
2022/1/1,0:09:33,82.0,786.0,6779.0,182.42163090000005,75.40464783,17.226,16.4,-0.641234636,6.725,-0.47,3.61,4.92,8.53,4.94,5.41,8.0,23.7,30.56 N,123.17 E,556.2236715314526
2022/1/1,0:09:43,81.0,801.0,6831.0,182.0766602,76.30464172,17.23,16.3,-1.262476802,6.79,0.01,3.36,5.11,8.47,5.56,5.55,4.0,22.3,30.56 N,123.17 E,496.078626553708
2022/1/1,0:09:55,82.0,770.0,6612.0,185.6090851,75.29124451,17.267,16.3,-0.027568584,6.915,-0.25,3.07,5.38,8.45,5.18,5.43,0.0,24.5,30.56 N,123.17 E,600.25
2022/1/1,0:10:05,82.0,779.0,6652.0,182.6763763,74.54988861,17.267,16.3,-0.027568584,6.805,-0.3,2.97,5.32,8.29,5.16,5.46,0.0,24.8,30.56 N,123.17 E,615.0400000000002
2022/1/1,0:10:15,81.0,768.0,6608.0,181.8627777,73.27739716,17.267,16.4,-1.883718967,7.01,-0.53,2.9,5.56,8.46,5.0,5.53,355.0,23.9,30.56 N,123.17 E,569.0363734969859
2022/1/1,0:10:27,81.0,786.0,6712.0,182.2052765,74.11889648,17.267,16.5,-2.5049612519999997,6.57,-0.79,3.8,4.67,8.47,4.72,5.51,0.0,24.0,30.56 N,123.17 E,576.0
2022/1/1,0:10:38,82.0,771.0,6626.0,183.1411133,73.54503632,17.267,16.5,-1.254900694,6.87,-0.34,3.02,5.36,8.38,5.0,5.34,1.0,25.3,30.56 N,123.17 E,639.9925111926545
2022/1/1,0:10:48,81.0,784.0,6690.0,181.8027039,74.16220093,17.267,16.4,-1.883718967,6.625,-0.59,3.41,4.92,8.33,4.87,5.46,4.0,24.1,30.56 N,123.17 E,579.3951760314086
2022/1/1,0:11:00,81.0,763.0,6521.0,188.7520447,75.05195618,17.21,16.4,-1.883718967,6.84,-0.68,3.02,5.33,8.35,4.89,5.57,2.0,24.4,30.56 N,123.17 E,594.9973227740887
2022/1/1,0:11:10,82.0,776.0,6666.0,180.3427582,73.75244141,17.211,16.3,-1.262476802,6.605,-0.84,3.75,5.29,8.39,5.35,5.31,5.0,23.6,30.56 N,123.17 E,554.8405990491786
2022/1/1,0:11:20,82.0,780.0,6673.0,182.1540222,74.57139587,17.215999999999998,16.3,-0.027568584,6.685,-0.43,3.47,4.92,8.53,5.22,5.53,8.0,23.0,30.56 N,123.17 E,523.8518083642907
2022/1/1,0:11:32,82.0,785.0,6750.0,182.2199554,75.45919037,17.215999999999998,16.3,-0.027568584,6.76,-0.31,3.24,5.14,8.38,5.15,5.46,8.0,21.7,30.56 N,123.17 E,466.3073308897181
2022/1/1,0:11:42,82.0,782.0,6732.0,183.57754519999995,75.81864929,17.215999999999998,16.3,-0.027568584,6.71,-0.49,3.5,4.96,8.46,5.2,5.69,8.0,20.7,30.56 N,123.17 E,424.31996477507545
2022/1/1,0:11:52,82.0,767.0,6563.0,185.0740356,74.51784515,17.215999999999998,16.3,-0.027568584,6.875,-0.32,2.93,5.41,8.34,5.21,5.53,4.0,21.0,30.56 N,123.17 E,439.9257461645825
2022/1/1,0:12:03,82.0,770.0,6568.0,187.4641113,75.53768921,17.215999999999998,16.3,-0.027568584,6.98,-0.18,2.8,5.58,8.38,5.25,5.43,7.0,22.8,30.56 N,123.17 E,515.9651914692248
2022/1/1,0:12:15,81.0,786.0,6764.0,182.2858276,75.64302826,17.213,16.3,-1.262476802,6.59,-0.42,3.84,4.67,8.51,4.99,5.41,8.0,23.7,30.56 N,123.17 E,556.2236715314526
2022/1/1,0:12:25,82.0,788.0,6753.0,184.0762787,76.26178741,17.213,16.3,-1.262476802,6.77,-0.39,3.34,5.1,8.44,5.3,5.69,9.0,22.1,30.56 N,123.17 E,482.3968624300714
2022/1/1,0:12:35,82.0,775.0,6586.0,188.2057648,76.04436493,17.213,16.3,-1.262476802,6.71,-0.38,3.58,4.92,8.5,5.37,5.75,9.0,23.0,30.56 N,123.17 E,522.4871321748279
2022/1/1,0:12:47,81.0,777.0,6680.0,184.0522308,75.42753601,17.213,16.3,-1.262476802,6.6,-0.58,3.76,4.72,8.48,5.21,5.79,9.0,23.8,30.56 N,123.17 E,559.4661836467099
2022/1/1,0:12:57,82.0,782.0,6698.0,183.9333344,75.49118042,17.275,16.4,-1.883718967,6.96,-0.49,3.04,5.44,8.48,5.12,5.61,9.0,24.5,30.57 N,123.17 E,592.8599264422313
2022/1/1,0:13:07,81.0,770.0,6620.0,187.1416779,75.54133606,17.275,16.4,-1.883718967,6.61,-0.54,3.36,4.93,8.29,5.07,5.61,5.0,24.4,30.57 N,123.17 E,593.0944754559015
2022/1/1,0:13:20,81.0,782.0,6722.0,183.9744568,75.40708923,17.28,16.4,-1.883718967,6.83,-0.65,3.24,5.21,8.45,4.9,5.55,4.0,25.0,30.57 N,123.17 E,623.4775314123901
2022/1/1,0:13:30,81.0,779.0,6705.0,184.7008972,75.51338959,17.28,16.4,-1.883718967,6.755,-0.22,3.47,5.02,8.49,5.25,5.47,8.0,24.3,30.57 N,123.17 E,584.7433919112099
2022/1/1,0:13:40,81.0,786.0,6765.0,182.2059326,75.15995026,17.293,16.4,-1.883718967,6.685,-0.96,3.63,4.87,8.5,4.78,5.74,19.0,23.6,30.57 N,123.17 E,526.6160258657956
2022/1/1,0:13:50,81.0,779.0,6724.0,181.7465973,74.51610565,17.293,16.4,-1.883718967,6.63,-0.61,3.62,4.82,8.44,4.98,5.59,16.0,23.2,30.57 N,123.17 E,517.3894952218408
2022/1/1,0:14:02,81.0,783.0,6672.0,187.2701721,76.1869812,17.293,16.4,-0.641234636,6.815,-0.33,3.07,5.23,8.39,4.84,5.68,9.0,23.7,30.57 N,123.17 E,554.7746640288829
2022/1/1,0:14:12,81.0,786.0,6732.0,183.7145538,75.4125824,17.294,16.4,-1.883718967,6.65,-0.51,3.5,4.9,8.4,5.2,5.71,5.0,24.0,30.57 N,123.17 E,573.8081461008453
2022/1/1,0:14:23,81.0,783.0,6724.0,183.6342773,75.29005432,17.294,16.4,-1.883718967,6.92,-0.12,2.88,5.48,8.36,5.28,5.4,8.0,25.5,30.57 N,123.17 E,643.9218116992063
2022/1/1,0:14:35,82.0,777.0,6641.0,184.9019775,74.87403107,17.305,16.4,-0.641234636,6.69,-0.55,3.8,4.79,8.59,5.01,5.56,5.0,22.9,30.57 N,123.18 E,522.4144616262922
2022/1/1,0:14:45,81.0,781.0,6717.0,180.03297419999996,73.73667908,17.309,16.4,-0.641234636,6.72,-0.3,3.64,5.46,8.45,4.87,5.54,8.0,22.5,30.57 N,123.18 E,501.32320980042
2022/1/1,0:14:55,82.0,772.0,6581.0,185.3194122,74.36506653,17.309,16.4,-0.641234636,6.64,-0.29,3.82,4.73,8.55,5.02,5.31,11.0,22.7,30.57 N,123.18 E,505.82267135874673
2022/1/1,0:15:07,82.0,775.0,6645.0,183.2099152,74.37876129,17.283,16.4,-1.883718967,6.57,-0.3,3.8,4.67,8.47,5.15,5.45,15.0,23.8,30.57 N,123.18 E,547.1390250431798
2022/1/1,0:15:17,81.0,770.0,6589.0,182.3026428,74.77742767,17.287,16.4,-0.641234636,6.785,-0.55,3.31,5.24,8.33,5.34,5.6,14.0,25.1,30.57 N,123.18 E,611.2960105111406
2022/1/1,0:15:27,82.0,787.0,6765.0,181.570816,74.89795685,17.298,16.4,-0.641234636,6.82,-0.61,3.24,5.2,8.44,5.17,5.78,16.0,23.8,30.57 N,123.18 E,544.4970750473015
2022/1/1,0:15:37,82.0,775.0,6609.0,186.2049103,75.03830719,17.276,16.4,-0.641234636,6.745,-1.08,3.73,4.88,8.61,4.63,5.71,15.0,24.7,30.57 N,123.18 E,589.3016873606978
2022/1/1,0:15:49,81.0,780.0,6699.0,182.3062286,74.46764374,17.272000000000002,16.4,-1.883718967,6.575,0.03,3.61,4.77,8.38,5.44,5.41,9.0,24.2,30.57 N,123.18 E,578.4297997861364
2022/1/1,0:16:00,82.0,779.0,6701.0,183.3207397,74.90440369,17.29,16.4,-0.641234636,6.885,-0.34,2.93,5.42,8.35,5.21,5.55,5.0,25.3,30.57 N,123.18 E,637.6542643015455
2022/1/1,0:16:10,81.0,788.0,6780.0,182.35495,75.85070801,17.202,16.3,-1.262476802,6.795,0.12,3.25,5.17,8.42,5.32,5.2,7.0,27.3,30.57 N,123.18 E,739.7347213567608
2022/1/1,0:16:22,82.0,787.0,6742.0,183.9382629,76.08048248,17.202,16.3,-1.262476802,6.645,-0.6,3.69,4.8,8.45,5.25,5.48,12.0,26.3,30.57 N,123.18 E,676.5749139515661
2022/1/1,0:16:32,81.0,786.0,6747.0,182.2750549,75.44845581,17.202,16.3,-1.262476802,6.665,-0.15,3.75,4.79,8.54,5.21,5.36,14.0,25.9,30.57 N,123.18 E,650.8840761432011
2022/1/1,0:16:42,81.0,793.0,6828.0,182.1001587,76.28097534,17.202,16.3,-1.262476802,6.685,-0.56,3.59,4.89,8.48,4.95,5.51,18.0,26.0,30.57 N,123.18 E,642.9142050155237
2022/1/1,0:16:54,81.0,793.0,6813.0,183.2530518,76.59527588,17.202,16.3,-1.262476802,6.635,-0.49,3.51,4.88,8.39,5.12,5.61,23.0,24.6,30.57 N,123.18 E,557.0527171152788
2022/1/1,0:17:04,82.0,801.0,6900.0,183.430954,77.64868927,17.202,16.3,-0.027568584,6.97,-0.18,2.92,5.51,8.43,5.15,5.33,12.0,24.8,30.57 N,123.18 E,601.5999003553201
2022/1/1,0:17:15,82.0,797.0,6867.0,179.5549622,75.1831665,17.202,16.4,-0.641234636,6.7,-0.08,3.58,4.91,8.49,5.33,5.41,9.0,24.7,30.57 N,123.18 E,602.5787797136875
2022/1/1,0:17:27,81.0,783.0,6711.0,184.7441101,75.59864044,17.207,16.4,-1.883718967,6.95,-0.42,3.0,5.45,8.45,5.03,5.45,7.0,25.9,30.58 N,123.18 E,665.8098839825151
2022/1/1,0:17:37,81.0,785.0,6773.0,184.6703186,76.73448181,17.207,16.3,-1.262476802,6.42,-0.33,4.14,4.35,8.49,5.26,5.59,8.0,26.8,30.58 N,123.18 E,711.2501376929456
